SNP b c
0 25 4
1 45 27
2 51 12
3 9 10
4 77 14
5 30 22
6 24 85
7 19 23
8 14 9
9 34 120
10 32 32
11 18 11
12 23 38
13 0 38
14 66 2
15 45 2
16 19 37
17 62 21
18 11 0
19 89 6
20 70 12
21 47 18
22 33 2
23 10 32
24 22 16
25 2 12
26 61 62
27 122 3
28 44 51
29 12 47
30 1 58
31 26 37
32 19 6
33 102 41
34 75 60
35 0 36
36 39 30
37 21 1
38 25 11
39 20 8
40 41 31
41 47 25
42 35 40
43 12 13
44 69 62
45 8 21
46 72 20
47 38 11
48 9 29
49 39 6
50 56 7
51 70 13
52 11 24
53 17 73
54 18 9
55 2 10
56 49 7
57 5 9
58 1 30
59 29 7
60 17 24
61 41 41
62 108 3
63 8 33
64 4 5
65 4 84
66 76 21
67 73 2
68 0 117
69 37 1
70 7 0
71 6 27
72 5 14
73 6 58
74 37 24
75 17 22
76 39 8
77 45 37
78 50 24
79 58 15
80 17 14
81 69 0
82 63 23
83 23 47
84 39 7
85 47 34
86 76 8
87 9 26
88 2 23
89 8 0
90 20 36
91 36 10
92 8 22
93 17 3
94 16 3
95 52 18
96 15 93
97 12 1
98 34 19
99 21 1
